Experiment #2  Min_Sup : 0.05, Min_Conf : 0.85
----------------------------------------------
78 ['油', '饮料'] ['散装休闲食品'] 0.870967741935484 0.07238605898123325
79 ['油'] ['散装休闲食品', '饮料'] 0.8571428571428572 0.07238605898123325
80 ['中式糕点', '常温熟食类'] ['饮料'] 0.9634146341463414 0.10589812332439678
81 ['冲饮食品', '滋补保健品'] ['散装休闲食品'] 0.8695652173913043 0.08042895442359249
82 ['休闲小食品', '常温乳制品'] ['饮料'] 1.0 0.1193029490616622
83 ['进口食品', '罐头食品'] ['散装休闲食品'] 0.8543689320388349 0.11796246648793565
84 ['散装休闲食品', '罐头食品'] ['进口食品'] 0.8799999999999999 0.11796246648793565
85 ['糖果巧克力', '常温熟食类'] ['饮料'] 0.9813953488372092 0.2828418230563003
86 ['糖果巧克力', '白酒'] ['饮料'] 0.9642857142857144 0.07238605898123325
87 ['冲饮食品', '杂粮'] ['散装休闲食品'] 0.9375 0.08042895442359249
88 ['冷冻面点', '即食主食'] ['饮料'] 1.0 0.057640750670241284
89 ['炒货食品', '休闲小食品'] ['饮料'] 0.9666666666666667 0.11662198391420911
90 ['进口食品', '常温熟食类'] ['饮料'] 0.9699570815450643 0.30294906166219837
91 ['散装休闲食品', '即食主食'] ['饮料'] 0.9417989417989417 0.2386058981233244
92 ['罐头食品', '调味品'] ['饮料'] 0.975609756097561 0.10723860589812333
93 ['罐头食品', '常温乳制品'] ['饮料'] 1.0 0.06702412868632708
94 ['饼干', '常温熟食类'] ['饮料'] 0.9888268156424581 0.23726541554959785
95 ['南北干货', '滋补保健品'] ['散装休闲食品'] 0.8837209302325582 0.05093833780160858
96 ['糖果巧克力', '香烟'] ['饮料'] 0.9731543624161073 0.19436997319034852
97 ['散装休闲食品', '杂粮'] ['饮料'] 0.981818181818182 0.1447721179624665
98 ['饮料', '杂粮'] ['散装休闲食品'] 0.8852459016393444 0.1447721179624665
99 ['杂粮'] ['散装休闲食品', '饮料'] 0.8571428571428572 0.1447721179624665
100 ['冷藏熟食', '常温乳制品'] ['常温熟食类'] 0.9607843137254902 0.06568364611260054
101 ['冷藏熟食', '常温熟食类'] ['饮料'] 0.9761904761904762 0.10991957104557641
102 ['常温乳制品', '杂粮'] ['散装休闲食品'] 0.9649122807017544 0.07372654155495978
103 ['进口食品', '冷藏素食制品'] ['饮料'] 0.936936936936937 0.13941018766756033
104 ['杂粮', '调味品'] ['散装休闲食品'] 0.9270833333333333 0.1193029490616622
105 ['冲饮食品', '杂粮'] ['糖果巧克力'] 0.8749999999999999 0.07506702412868632
106 ['冰品', '常温乳制品'] ['散装休闲食品'] 0.8666666666666667 0.06970509383378017
107 ['罐头食品', '冷藏乳制品'] ['进口食品'] 0.88 0.08847184986595175
108 ['中式糕点', '常温乳制品'] ['饮料'] 1.0 0.06300268096514745
109 ['罐头食品', '常温乳制品'] ['散装休闲食品'] 0.8799999999999999 0.058981233243967826
110 ['杂粮', '冷藏乳制品'] ['进口食品'] 0.8955223880597014 0.08042895442359249
111 ['休闲小食品', '滋补保健品'] ['常温熟食类'] 0.9076923076923077 0.07908847184986595
